ubigeo,lat,lon,mita,cusco,border,dell_d_bnd,dell_signed,elevation,slope,bfe4_1,bfe4_2,bfe4_3,stunted,n_children
50901,14.013330459594727,73.8397216796875,1,0,0,87.5874252319336,87.5874252319336,3.5691,9.36945,0,0,1,0.3603238866396761,247
50902,13.800000190734863,73.75,1,0,0,65.09480285644531,65.09480285644531,2.73169,13.7428,0,0,1,0.10344827586206896,29
50903,13.850560188293457,73.7541732788086,1,0,0,68.779632568359375,68.779632568359375,3.23295,13.5836,0,0,1,0.26865671641791045,67
50904,13.88722038269043,73.728057861328125,1,0,0,69.24852752685547,69.24852752685547,3.22409,15.0111,0,0,1,0.35294117647058826,68
50906,14.110560417175293,73.87139129638672,1,0,0,97.64313507080078,97.64313507080078,3.83827,6.59821,0,0,1,0.4202127659574468,188
50907,14.037779808044434,73.64360809326172,1,0,0,75.78485107421875,75.78485107421875,3.60294,12.5299,0,0,1,0.3939393939393939,99
50908,14.170000076293945,73.56999969482422,1,0,0,84.552459716796875,84.552459716796875,3.97242,3.4988,0,0,1,0.35789473684210527,95
50909,13.968059539794922,73.73388671875,1,0,0,75.9874496459961,75.9874496459961,3.79896,10.7585,0,0,1,0.5362318840579711,138
50910,14.045280456542969,73.6388931274414,1,0,0,76.17858123779297,76.17858123779297,3.78091,8.3597,0,0,1,0.4411764705882353,102
50911,14.114999771118164,73.60444641113281,1,0,0,80.80271911621094,80.80271911621094,4.06219,3.82995,0,0,1,0.26785714285714285,112
51001,13.683329582214355,74.0666732788086,1,0,0,91.0715103149414,91.0715103149414,3.97502,6.76566,0,0,1,0.45320197044334976,203
51003,14.01471996307373,73.93305206298828,1,0,0,95.22566986083984,95.22566986083984,4.0084,7.65082,0,0,1,0.475,80
51004,14.055000305175781,73.910003662109375,1,0,0,96.27738189697266,96.27738189697266,3.60059,12.8669,0,0,1,0.3055555555555556,36
51005,13.927780151367188,73.907501220703125,1,0,0,87.15422821044922,87.15422821044922,3.89709,7.41601,0,0,1,0.3031496062992126,254
